Drug ID,Drug Name,Discription
DB00011,Interferon alfa-n1,"Interferon alfa-n1 consists of purified, natural (n is for natural) alpha interferon subtypes, at least two of which are glycosylated. This differs from recombinant alpha interferons, which are individual non-glycosylated proteins produced from individual alpha interferon genes.;;;;"
DB00012,Darbepoetin alfa,"Human erythropoietin with 2 aa substitutions to enhance glycosylation (5 N-linked chains), 165 residues (MW=37 kD). Produced in Chinese hamster ovary (CHO) cells by recombinant DNA technology.;;;;"
DB00013,Urokinase,Urokinase is an endogenous peptide that is cleaved in the presence of plasmin between lysine 158 and isoleucine 159 to yield active urokinase.[A191943] Urokinase remains connected between these 2 chains by a sulfhydryl bond.[A191943];;;;
DB00014,Goserelin,"Goserelin is a synthetic hormone. In men, it stops the production of the hormone testosterone, which may stimulate the growth of cancer cells. In women, goserelin decreases the production of the hormone estradiol (which may stimulate the growth of cancer cells) to levels similar to a postmenopausal state. When the medication is stopped, hormone levels return to normal.;;;;"
DB00015,Reteplase,"Human tissue plasminogen activator, purified, glycosylated, 355 residues purified from CHO cells. Retavase is considered a ""third-generation"" thrombolytic agent, genetically engineered to retain and delete certain portions of human tPA. Retavase is a deletion mutein of human tPA formed by deleting various amino acids present in endogenous human tPA. Retavase contains 355 of the 527 amino acids of native human tPA (amino acids 1-3 and 176-527), and retains the activity-related kringle-2 and serine protease domains of human tPA. Three domains are deleted from retavase - kringle-1, finger, and epidermal growth factor (EGF).;;;;"
DB00016,Erythropoietin,"Erythropoietin (EPO) is a growth factor produced in the kidneys that stimulates the production of red blood cells. It works by promoting the division and differentiation of committed erythroid progenitors in the bone marrow [FDA Label]. Epoetin alfa (Epoge) was developed by Amgen Inc. in 1983 as the first rhEPO commercialized in the United States, followed by other alfa and beta formulations. Epoetin alfa is a 165-amino acid erythropoiesis-stimulating glycoprotein produced in cell culture using recombinant DNA technology and is used for the treatment of patients with anemia associated with various clinical conditions, such as chronic renal failure, antiviral drug therapy, chemotherapy, or a high risk for perioperative blood loss from surgical procedures [FDA Label]. It has a molecular weight of approximately 30,400 daltons and is produced by mammalian cells into which the human erythropoietin gene has been introduced. The product contains the identical amino acid sequence of isolated natural erythropoietin and has the same biological activity as the endogenous erythropoietin. Epoetin alfa biosimilar, such as Retacrit (epoetin alfa-epbx or epoetin zeta), has been formulated to allow more access to treatment options for patients in the market [L2784]. The biosimilar is approved by the FDA and EMA as a safe, effective and affordable biological product and displays equivalent clinical efficacy, potency, and purity to the reference product [A7504]. Epoetin alfa formulations can be administered intravenously or subcutaneously.;;;;"
DB00017,Salmon calcitonin,"Synthetic peptide, 32 residues long formulated as a nasal spray.;;;;"
DB00018,Interferon alfa-n3,"Purified, natural (n is for natural) human interferon alpha proteins (consists of 3 forms or polymorphisms including 2a, 2b and 2c). 166 residues, some are glycosylated (MW range from 16 kD to 27 kD).;;;;"
DB00019,Pegfilgrastim,"Pegfilgrastim is a PEGylated form of the recombinant human granulocyte colony-stimulating factor (G-CSF) analogue, [filgrastim].[A187601] The drug is approved for use to decrease the incidence of infection, as manifested by febrile neutropenia, in susceptible patients with with non-myeloid cancer receiving myelosuppressive anti-cancer treatment.[L9746] Although the risk of developing febrile neutropenia is less than 20% in many readily used chemotherapy regimens,[A248855] infections pose risks of hospitalization and mortalities.[A187631] Due to the relatively short circulating half-life of filgrastim, a 20 kDa PEG moiety was covalently conjugated to the N-terminus of filgrastim (at the methionine residue) to develop longer-acting pegfilgrastim.[A29,A187607] Due to a longer half-life and slower elimination rate than filgrastim, pegfilgrastim requires less frequent dosing than filgrastim; however, pegfilgrastim has a comparable pharmacological activity to filgrastim and binds to the G-CSF receptor to stimulate the proliferation, differentiation, and activation of neutrophils.[A187607];;;"
DB00020,Sargramostim,Sargramostim is a human recombinant granulocyte macrophage colony-stimulating factor (GM-CSF) expressed in yeast. It is a glycoprotein that is 127 residues. Substitution of Leu23 leads to a difference from native protein.;;;;
DB00022,Peginterferon alfa-2b,"Peginterferon alfa-2b is a form of recombinant interferon used as part of combination therapy to treat chronic Hepatitis C, an infectious liver disease caused by infection with Hepatitis C Virus (HCV). HCV is a single-stranded RNA virus that is categorized into nine distinct genotypes, with genotype 1 being the most common in the United States, and affecting 72% of all chronic HCV patients [L852]. Treatment options for chronic Hepatitis C have advanced significantly since 2011, with the development of Direct Acting Antivirals (DAAs) resulting in less use of Peginterferon alfa-2b. Peginterferon alfa-2b is derived from the alfa-2b moeity of recombinant human interferon and acts by binding to human type 1 interferon receptors. Activation and dimerization of this receptor induces the body's innate antiviral response by activating the janus kinase/signal transducer and activator of transcription (JAK/STAT) pathway. Use of Peginterferon alfa-2b is associated with a wide range of severe adverse effects including the aggravation and development of endocrine and autoimmune disorders, retinopathies, cardiovascular and neuropsychiatric complications, and increased risk of hepatic decompensation in patients with cirrhosis. The use of Peginterferon alfa-2b has largely declined since newer interferon-free antiviral therapies have been developed.;;;;"
DB00023,Asparaginase Escherichia coli,"Asparaginase derived from _Escherichia coli_ (L-asparagine amidohydrolase, EC 3.5.1.1) is an enzyme responsible for the metabolism of L-asparagine, by catalyzing L-asparagine into L-aspartic acid and ammonia. It also facilitates the production of oxaloacetate which is needed for general cellular metabolism. Asparaginase from _E. coli_ has clinically shown to exhibit antitumor actions in models of leukaemias [A31996, A31997]. L-asparaginase of _E. coli_ is marketed under several different trade names, including Elspar, for the treatment of acute lymphoblastic leukemia (ALL) as part of a multi-agent chemotherapeutic regimen. It is available as intramuscular or intravenous injections. Therapeutic L-asparaginase from _E. coli_ works by depleting the levels of non-essential amino acid, asparagine, in lymphoblastic leukemic cells thus promoting apoptotic cell death [A31999]. For patients who develop hypersensitivity to _E. coli_-derived formulations of L-asparaginase, the use of PEGylated or non-PEGylated [DB08886] is recommended [A31999].;;;;"
DB00024,Thyrotropin alfa,"Thyrotropin alfa is a recombinant form of thyroid stimulating hormone used in performing certain tests in patients who have or have had thyroid cancer. It is also used along with a radioactive agent to destroy remaining thyroid tissue in certain patients who have had their thyroid gland removed because of thyroid cancer. It is a heterodimeric glycoprotein comprised of two non-covalently linked subunits, an alpha subunit of 92 amino acid residues containing two N-linked glycosylation sites and a beta subunit of 112 residues containing one N-linked glycosylation site. The alpha subunit of thyrotropin alfa, which is the effector region responsible for the stimulation of adenylate cyclase, displays close structural similarity with the alpha subunit of human chorionic gonadotropin (hCG), luteinizing hormone (LH), and follicle-stimulating hormone (FSH). The beta subunit (TSHB) bestows its receptor specificity due to the uniqueness to TSH. The amino acid sequence of thyrotropin alfa is identical to that of human pituitary thyroid stimulating hormone.;;;;"
DB00025,"Antihemophilic factor, human recombinant","Human recombinant antihemophilic factor (AHF) or Factor VIII, 2332 residues, glycosylated, produced by CHO cells;;;;"
DB00026,Anakinra,"Anakinra is a recombinant human interleukin-1 (IL-1) receptor antagonist (IL-1Ra) composed of 153 amino acid residues. Unlike native human IL-1Ra, anakinra has an additional methionine residue at the amino terminus. This drug binds to the IL-1 receptor, competing with and inhibiting the activity of IL-1 alpha and beta.[L35415] Anakinra is indicated for the management of rheumatoid arthritis (RA) in patients 18 years of age or older who have failed one or more disease-modifying antirheumatic drugs (DMARDs), as well as the treatment of neonatal-onset multisystem inflammatory disease (NOMID) and deficiency of interleukin-1 receptor antagonist (DIRA).[L35415] Since IL-1 has an important role in inflammation and immunological responses, anakinra is also used for the off-label treatment of inflammatory diseases.[A247000];;;;"
DB00027,Gramicidin D,"Gramcidin D is a heterogeneous mixture of three antibiotic compounds, gramicidins A, B and C, making up 80%, 6%, and 14% respectively all of which are obtained from the soil bacterial species Bacillus brevis and called collectively gramicidin D. Gramcidins are 15 residue peptides with alternating D and L amino acids, which assemble inside of the hydrophobic interior of the cellular lipid bilayer to form a β-helix. Active against most Gram-positive bacteria and some Gram-negative organisms, Gramicidin D is used primarily as a topical antibiotic and is also found in Polysporin ophthalmic solution.;;;;"
DB00028,Human immunoglobulin G,"Intravenous immunoglobulin (IVIg) is a mixture of IgG1 and other antibodies derived from healthy human plasma via Cohn fractionation. The purification process includes cold alcohol fractionation, polyethylene glycol precipitation, and ion exchange chromatography. IVIg contains the same distribution of IgG antibody subclasses as is found in the general human population. IgG subclasses are fully represented in the following proportions: 70.3% IgG1, 24.7% IgG2, 3.1% IgG3, and 1.9% IgG4. IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders.;;;;"
DB00029,Anistreplase,"Human tissue plasminogen activator, purified, glycosylated, 527 residues purified from CHO cells. Eminase is a lyophilized (freeze-dried) formulation of anistreplase, the p-anisoyl derivative of the primary Lys-plasminogen-streptokinase activator complex (a complex of Lys-plasminogen and streptokinase). A p-anisoyl group is chemically conjugated to a complex of bacterial-derived streptokinase and human Plasma-derived Lys-plasminogen proteins.;;;;"
DB00030,Insulin human,"Human Insulin, also known as Regular Insulin, is a short-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Human insulin is produced by recombinant DNA technology and is identical to endogenously produced insulin. Typically prescribed for the management of diabetes mellitus, insulin is a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Absorption of glucose into cells allows for its transformation into glycogen or fat for storage. Insulin also inhibits hepatic glucose production, enhances protein synthesis, and inhibits lipolysis and proteolysis among many other functions.;;;;"
DB00031,Tenecteplase,"Tenecteplase is a tissue plasminogen activator (tPA) developed from modifications of natural human tPA complementary DNA (cDNA). It is a 527 amino acid with a substitution of threonine 103 with asparagine and substitution of asparagine 117 with glutamine within the kringle 1 domain, and a tetra-alanine substitution at amino acids 296-299 in the protease domain.;;;;"
DB00032,Menotropins,"Menotropins contains follicle stimulating hormone (FSH) and luteinizing hormone (LH) purified from the urine of postmenopausal women.  It is used as a fertility medication that is injected either subcutaneously or intramuscularly. It is composed of LH with 2 subunits, alpha = 92 residues, beta = 121 residues and FSH with 2 subunits, alpha = 92 residues, beta=111 residues.;;;;"
DB00033,Interferon gamma-1b,"Human Interferon gamma-1b (140 residues), produced from E. coli. Production of Actimmune is achieved by fermentation of a genetically engineered Escherichia coli bacterium containing the DNA which encodes for the human protein. Purification of the product is achieved by conventional column chromatography. ;;;;"
DB00034,Interferon alfa-2a,Interferon a (human leukocyte protein moiety reduced). A type I interferon consisting of 165 amino acid residues with lysine in position 23. This protein is produced by recombinant DNA technology and resembles interferon secreted by leukocytes. It is used extensively as an antiviral or antineoplastic agent. An oral form is being developed by Amarillo Biosciences.;;;;
DB00035,Desmopressin,"Desmopressin (dDAVP), a synthetic analogue of 8-arginine vasopressin (ADH), is an antidiuretic peptide drug modified by deamination of 1-cysteine and substitution of 8-L-arginine by 8-D-arginine. ADH is an endogenous pituitary hormone that has a crucial role in the control of the water content in the body. Upon release from the stimulation of increased plasma osmolarity or decreased circulating blood volume, ADH mainly acts on the cells of the distal part of the nephron and the collecting tubules in the kidney [T28]. The hormone interacts with V1, V2 or V3 receptors with differing signal cascade systems.;;;;"
DB00036,Coagulation factor VIIa Recombinant Human,"Recombinant human coagulation Factor VIIa (rFVIIa), intended for promoting hemostasis by activating the extrinsic pathway of the coagulation cascade. NovoSeven is a vitamin K-dependent glycoprotein consisting of 406 amino acid residues. Cloned and expressed in hamster kidney cells, the protein is catalytically active in a two-chain form.;;;;"
DB00038,Oprelvekin,"Oprelvekin, the active ingredient in Neumega®, is recombinant Interleukin-11 (IL-11), which is produced in Escherichia coli (E. coli) by recombinant DNA technology. With a molecular mass of approximately 19,000 daltons, the non-glycosylated protein is 177 amino acids in length in comparison to the natural IL-11, which is 178 amino acid long. However, it displays comparable biological activity compared to the natural IL-11 _in vitro_ and _in vivo_. Oprelvekin works by stimulating megakaryocytopoiesis and thrombopoiesis. In mice and nonhuman primate studies of animals with moderate and severe myelosuppression, in addition to compromised hematopoiesis, oprelvekin was shown to potently induce thrombopoiesis and improve platelet nadirs and accelerated platelet recoveries compared to controls. In animal studies, oprelvekin was also shown to regulate intestinal epithelium growth by enhancing healing of gastrointestinal lesions, inhibit adiopegenesis and macrophageal released pro-inflammatory cytokines, and induce acute phase protein synthesis.;;;;"
DB00039,Palifermin,"Palifermin is a recombinant human keratinocyte growth factor (KGF). It is 140 residues long, and is produced using E. coli.;;;;"
DB00040,Glucagon,"Glucagon is a 29 amino acid hormone used as a diagnostic aid in radiologic exams to temporarily inhibit the movement of the gastrointestinal tract and to treat severe hypoglycemia.[L7634,L7637,L7640,L7643,L8519] Glucagon raises blood sugar through activation of hepatic glucagon receptors, stimulating glycogenolysis and the release of glucose.[L7640,L7643];;;;"
DB00041,Aldesleukin,"Aldesleukin, a lymphokine, is produced by recombinant DNA technology using a genetically engineered E. coli strain containing an analog of the human interleukin-2 gene. Genetic engineering techniques were used to modify the human IL-2 gene, and the resulting expression clone encodes a modified human interleukin-2. This recombinant form differs from native interleukin-2 in the following ways: a) Aldesleukin is not glycosylated because it is derived from E. coli; b) the molecule has no N-terminal alanine; the codon for this amino acid was deleted during the genetic engineering procedure; c) the molecule has serine substituted for cysteine at amino acid position 125.;"
DB00042,Botulinum toxin type B,Neurotoxin produced by fermentation of clostridium botulinum type B. The protein exists in noncovalent association with hemagglutinin and nonhemagglutinin proteins as a neurotoxin complex. The neurotoxin complex is recovered from the fermentation process and purified through a series of precipitation and chromatography steps.;;;;
DB00043,Omalizumab,"Omalizumab, manufactured by _Genentech_, was first FDA approved in 2003 to treat adults and children 12 years of age and older with moderate to severe persistent allergic asthma which is not controlled by inhaled steroids [L4670]. Since its U.S. approval, more than 200,000 patients older than 12 with allergic asthma have been treated [L4670].  In September 2018, a new prefilled syringe formulation of this drug was approved by the FDA [L4671].;;;;"
DB00044,Lutropin alfa,"Lutropin alfa is a recombinant human luteinizing hormone produced in yeast with 2 subunits, alpha = 92 residues, beta = 121 residues. It is a heterodimeric glycoprotein made up of monomeric units. Lutropin alfa was the first and only recombinant human form of luteinizing hormone (LH) developed for use in the stimulation of follicular development. Its pharmacological action mimics the biological activity of endogenous LH; an acute rise of LH, or LH surge, in females triggers ovulation and the development of the corpous luteum. In males, LH stimulates Leydig cell to produce testosterone.;;;"
DB00045,Lyme disease vaccine (recombinant OspA),"Vaccine against Lyme disease that contains lipoprotein OspA, an outer surface protein of Borrelia burgdorferi sensu stricto ZS7, as expressed by Escherichia coli. Lipoprotein OspA is a single polypeptide chain of 257 amino acids with lipids covalently bonded to the N terminus. It is conjugated with alum (aluminum hydroxide) as an adjuvant.;;;;"
DB00046,Insulin lispro,"Insulin lispro is a rapid-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Insulin is prescribed for the management of diabetes mellitus to mimic the activity of endogenously produced human insulin, a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Absorption of glucose into cells allows for its transformation into glycogen or fat for storage. Insulin also inhibits hepatic glucose production, enhances protein synthesis, and inhibits lipolysis and proteolysis among many other functions.;;;;"
DB00047,Insulin glargine,"Insulin glargine is a long-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Insulin is typically prescribed for the management of diabetes mellitus to mimic the activity of endogenously produced human insulin, a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Absorption of glucose into cells allows for its transformation into glycogen or fat for storage. Insulin also inhibits hepatic glucose production, enhances protein synthesis, and inhibits lipolysis and proteolysis.;;;;"
DB00048,Collagenase clostridium histolyticum,Collagenase clostridium histolyticum is an enzyme produced by the bacterium Clostridium histolyticum. It is beneficial in the breakdown of collagen plaques for the treatment of Dupuytren's contracture and Peyronie's disease.[L14882] The topical formulation is used for the debridement of necrotic tissue due to burns or chronic ulcers.[L14912];;;;
DB00049,Rasburicase,Rasburicase is a recombinant urate-oxidase enzyme produced by a genetically modified <i>Saccharomyces cerevisiae</i> strain. The cDNA coding for rasburicase was cloned from a strain of _Aspergillus flavus_.;;;;
DB00050,Cetrorelix,"Cetrorelix is a man-made hormone that blocks the effects of Gonadotropin Releasing Hormone (GnRH). GnRH controls another hormone that is called luteinizing hormone (LH), which is the hormone that starts ovulation during the menstrual cycle. When undergoing hormone treatment sometimes premature ovulation can occur, leading to eggs that are not ready for fertilization to be released. Cetrorelix does not allow the premature release of these eggs to occur.;;;;"
DB00051,Adalimumab,"Adalimumab is a subcutaneously administered biological disease modifier for the treatment of rheumatoid arthritis and other chronic debilitating diseases mediated by tumor necrosis factor.[A39984,A39999] It was originally launched by Abbvie in the U.S. and approved in 2002 by the FDA.[A39983] This drug is frequently known as _Humira_. It is produced by recombinant DNA technology using a mammalian cell expression system. This drug is available in a prefilled syringe form and convenient pen form for subcutaneous self-administered doses.[A39983] A new biosimilar to adalimumab, named _adalimumab-adaz_, was approved by the FDA on October 31, 2018. This biosimilar is known as _Hyrimoz_, and is a trademark of Novartis AG.[L4799] Other biosimilars of adalimumab include adalimumab-fkjp, which was approved in July 2022,[L42495] and HADLIMA (adalimumab-bwwd), which was approved in August 2022.[L42935];;;;"
DB00052,Somatotropin,"Human growth hormone (HGH), also known as somatotropin, is a peptide hormone that is synthesized and secreted by the somatotropic cells of the anterior pituitary gland.[A228183] Growth hormone plays an essential role in growth regulation during childhood as well as other basal metabolic functions, muscle and fat mass regulation, blood glucose level regulation, and lipid regulation in both children and adults.[A228183, L31508] Synthesized in a strain of _Escherichia coli_, recombinant HGH is a polypeptide hormone that contains 191 amino acid residues with a molecular weight of 22 kDa. It has an identical primary protein structure to endogenous human growth hormone.[A228188] Recombinant HGH has been commercially available since 1985 after its development by Genentech. [Somatrem] was the first available recombinant HGH and was largely replaced by somatropin, another form of recombinant HGH.[A228183] ;;;;"
DB00053,Imiglucerase,"Human Beta-glucocerebrosidase or Beta-D-glucosyl-N-acylsphingosine glucohydrolase E.C. 3.2.1.45. 497 residue protein with N-linked carbohydrates, MW=59.3 kD. Alglucerase is prepared by modification of the oligosaccharide chains of human Beta-glucocerebrosidase. The modification alters the sugar residues at the non-reducing ends of the oligosaccharide chains of the glycoprotein so that they are predominantly terminated with mannose residues.;;;;"
DB00054,Abciximab,"Abciximab is a Fab fragment of the chimeric human-murine monoclonal antibody 7E3. Abciximab binds to the glycoprotein (GP) IIb/IIIa receptor of human platelets and inhibits platelet aggregation by preventing the binding of fibrinogen, von Willebrand factor, and other adhesive molecules. It also binds to vitronectin (αvβ3) receptor found on platelets and vessel wall endothelial and smooth muscle cells.;;;;"
DB00055,Drotrecogin alfa,"Drotrecogin alfa is activated human protein C that is synthesized by recombinant DNA technology. It is a glycoprotein of approximately 55 kilodalton molecular weight, consisting of a heavy chain and a light chain linked by a disulfide bond. Drotrecogin alfa was withdrawn from the market after a major study indicated that it was not effective in improving outcomes in patients with sepsis.;;;;"
DB00056,Gemtuzumab ozogamicin,"Gemtuzumab ozogamicin is a recombinant humanized IgG4 kappa antibody which is conjugated with calicheamicin derivative, a cytotoxic antitumor antibiotic isolated from fermentation of Micromonospora echinospora ssp. calichensis. Gemtuzumab ozogamicin has approximately 50% of the antibody loaded with 4-6 moles calicheamicin per mole of antibody [FDA Label]. The antibody is specifically directed against the CD33 antigen present on leukemic myeloblasts in most patients with acute myeloid leukemia (AML). By binding to the CD33 antigen on tumors, the cytotoxic agent blocks the growth of cancerous cells and causes cell death. ;;;;"
DB00057,Indium In-111 satumomab pendetide,Tumor associated glycoprotein (TAG) 72 (B72.3) monoclonal antibody conjugated with Indium 111 for radioimaging colon tumors. Satumomab Pendetide (trade name: OncoScint®) is no longer commercially available.;;;;
DB00058,Alpha-1-proteinase inhibitor,"Human alpha-1 proteinase inhibitor or alpha-1-antitrypsin, prepared from human plasma via Cohn alcohol fractionation followed by PEG and zinc chloride fractionation.;;;;"
DB00059,Pegaspargase,Pegylated L-asparagine amidohydrolase from E. coli. Pegylation substantially (by a factor of 4) extends the protein half life.;;;;
DB00060,Interferon beta-1a,"Human interferon beta (166 residues), glycosylated, MW=22.5kD. It is produced by mammalian cells (Chinese Hamster Ovary cells) into which the human interferon beta gene has been introduced. The amino acid sequence is identical to that of natural human interferon beta.;;;;"
DB00061,Pegademase,Bovine adenosine deaminase derived from bovine intestine that has been extensively pegylated for extended serum half life.;;;;
DB00062,Albumin human,"Human serum albumin is the primary protein present in human blood plasma. The main function of albumin is to maintain the oncotic pressure of blood [A33706]. It binds to water, cations (such as Ca2+, Na+ and K+), fatty acids, hormones, bilirubin, thyroxine (T4) and pharmaceuticals (including barbiturates).  Albumin represents approximately 50% of the total protein content in healthy humans [A40060].;;;;"
DB00063,Eptifibatide,"Synthetic cyclic hexapeptide that binds to platelet receptor glycoprotein and inhibits platelet aggregation. Derived from venom of the Southeastern pygmy rattlesnake (Sistrurus miliarus barbouri), eptifibatide is a cyclic heptapeptide that belongs to the class of arginin-glycin-aspartat-mimetics.;;;;"
DB00065,Infliximab,"Infliximab is a tumor necrosis factor (TNF-alpha or TNF-α) blocker and a chimeric monoclonal IgG1 antibody composed of human constant (75%) and murine variable (25%) regions [A31469]. Infliximab is produced by a recombinant cell line cultured by continuous perfusion. Tumor necrosis factor-alpha (TNF-α) is a key proinflammatory cytokine involved in chronic inflammatory diseases [A31469]. Its hyperactivity and enhanced signalling pathways can be observed in inflammatory diseases where it activates further pro-inflammatory cascades. By binding to both the soluble subunit and the membrane-bound precursor of TNF-α [A106], infliximab disrupts the interaction of TNF-α with its receptors and may also cause lysis of cells that produce TNF-α [A106].;;;;"
